,Provider Number,FYB,FYE,STATUS,CTRL_TYPE,HOSP10_Name,Street_Addr,PO_Box,City,State,Zip_Code,County,Hospital Adult and Peds Staffed Beds,Hospital Adult and Peds Bed Days Available,Hospital Adult and Peds Inpatient Days,Intensive Care Unit Staffed Beds,Intensive Care Unit Bed Days Available,Intensive Care Unit Inpatient Days,Coronary Care Unit Staffed Beds,Coronary Care Unit Bed Days Available,Coronary Care Unit Inpatient Days,Burn ICU Staffed Beds,Burn ICU Bed Days Available,Burn ICU Inpatient Days,Surgical ICU Staffed Beds,Surgical ICU Bed Days Available,Surgical ICU Inpatient Days,Total Staffed Beds,Total Bed Days Available,Total Inpatient Days,ICU Total Staffed Beds,ICU Total Bed Days Available,ICU Total Inpatient Days,ICU Occupancy Rate,Total Bed Occupancy Rate,geometry
2151,171304,01-JAN-18,31-DEC-18,Amended,11,ASHLAND HEALTH CENTER,625 S KENTUCKY ST,188,ASHLAND,KS,67831,CLARK,25.0,9125.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,5904.0,0.0,0.0,0.0,0.0,0.647013698630137,POINT (-99.7797746 37.1902572)
2166,171320,01-OCT-17,30-SEP-18,As Submitted,4,CAH ACQUISITION COMPANY #3  LLC,240 WEST 18 TH STREET,NaN,HORTON,KS,66439,BROWN,15.0,5475.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5475.0,1221.0,0.0,0.0,0.0,0.0,0.22301369863013698,POINT (-95.52892079999999 39.6727386)
2192,171346,01-JAN-18,31-DEC-18,As Submitted,11,ANTHONY MEDICAL CENTER,1101 EAST SPRING STREET,NaN,ANTHONY,KS,67003-,HARPER,25.0,9125.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,4227.0,0.0,0.0,0.0,0.0,0.46323287671232877,POINT (-98.0175127 37.1550663)
2203,171357,01-OCT-17,30-SEP-18,As Submitted,4,HILLSBORO COMMUNITY HOSPITAL,701 SOUTH MAIN STREET,NaN,HILLSBORO,KS,67063,MARION,15.0,5475.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5475.0,1185.0,0.0,0.0,0.0,0.0,0.21643835616438356,POINT (-97.2050127 38.3449254)
2214,171368,01-JAN-18,31-DEC-18,Amended,11,MINNEOLA DISTRICT HOSPITAL,S,127,MINNEOLA,KS,67865,FORD,14.0,5110.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5110.0,1440.0,0.0,0.0,0.0,0.0,0.28180039138943247,POINT (-99.9012249538019 37.4863394283802)
2223,171377,01-APR-18,31-MAR-19,As Submitted,9,GREAT PLAINS OF SMITH CO.  INC,921 E. HIGHWAY 36,349,SMITH CENTER,KS,66967-0349,SMITH,16.0,5840.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5840.0,1981.0,0.0,0.0,0.0,0.0,0.33921232876712326,POINT (-98.77202680000001 39.7829282)
2224,171378,01-MAY-18,30-APR-19,Amended,2,NINNESCAH VALLEY HEALTH SYSTEMS,750 AVENUE D WEST,376,KINGMAN,KS,67068,KINGMAN,25.0,9125.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,1684.0,0.0,0.0,0.0,0.0,0.18454794520547946,POINT (-98.090174 37.5739154)
2255,180009,01-OCT-17,30-SEP-18,As Submitted,2,KINGS DAUGHTERSMEDICAL CENTER,2201  LEXINGTON AVENUE,151,ASHLAND,KY,41101-0151,BOYD,388.0,141620.0,52165.0,38.0,13870.0,6291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,160235.0,62650.0,38.0,13870.0,6291.0,0.4535688536409517,0.3909882360283334,POINT (-82.65000000000001 38.48)
2270,180035,01-JAN-18,31-DEC-18,As Submitted,1,ST ELIZABETH HEALTHCARE,1 MEDICAL VILLAGE DRIVE,NaN,EDGEWOOD,KY,41017-3403,KENTON,380.0,140828.0,104790.0,46.0,16790.0,10274.0,8.0,2920.0,1993.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,169663.0,125429.0,54.0,19710.0,12267.0,0.6223744292237443,0.7392831672197238,POINT (-84.5626515 39.0132266)
2273,180040,01-JUL-18,30-JUN-19,As Submitted,2,JEWISH HOSPITAL & ST MARYS HEALTH,217 EAST CHESTNUT,NaN,LOUISVILLE,KY,40202,JEFFERSON,423.0,154395.0,88058.0,88.0,32120.0,16982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0,266815.0,170103.0,88.0,32120.0,16982.0,0.5287048567870486,0.6375316230346869,POINT (-85.7513082 38.2495379)
2290,180079,01-OCT-17,30-SEP-18,As Submitted,2,HARRISON MEMORIAL HOSPITAL,1210 KY HIGHWAY 36 E,NaN,CYNTHIANA,KY,41031,HARRISON,55.0,20075.0,3506.0,6.0,2190.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,22265.0,4352.0,6.0,2190.0,253.0,0.11552511415525114,0.19546373231529307,POINT (-84.27824870000001 38.3824549)
2294,180092,01-MAY-18,30-APR-19,As Submitted,3,CLARK REGIONAL MEDICAL CENTER,1107 LEXINGTON AVENUE,NaN,WINCHESTER,KY,40392,CLARK,46.0,16790.0,6453.0,8.0,2920.0,2409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,19710.0,10312.0,8.0,2920.0,2409.0,0.825,0.5231861998985287,POINT (-84.196161 38.0003118)
2296,180095,01-OCT-17,30-SEP-18,As Submitted,1,CRITTENDEN COUNTY HOSPITAL  INC.,520 W GUM ST,NaN,MARION,KY,42064-,CRITTENDEN,48.0,17520.0,2679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17520.0,2980.0,0.0,0.0,0.0,0.0,0.17009132420091325,POINT (-88.0929474 37.3294063)
2315,180149,01-OCT-17,30-SEP-18,As Submitted,2,TJ HEALTH COLUMBIA,901 WESTLAKE DRIVE,NaN,COLUMBIA,KY,42728-,ADAIR,49.0,17885.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17885.0,267.0,0.0,0.0,0.0,0.0,0.014928711210511602,POINT (-85.2945148 37.0966648)
2318,181301,01-JAN-18,31-DEC-18,As Submitted,1,MARCUM & WALLACE MEMORIAL HOSPITAL,60 MERCY COURT,NaN,IRVINE,KY,40336-0928,ESTILL,25.0,9125.0,2107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,4801.0,0.0,0.0,0.0,0.0,0.5261369863013698,POINT (-83.9955879 37.6774189)
2334,181318,01-APR-18,31-MAR-19,As Submitted,2,THE MEDICAL CENTER AT FRANKLIN,1100 BROOKHAVEN ROAD,NaN,FRANKLIN,KY,42135-,SIMPSON,25.0,9125.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,6838.0,0.0,0.0,0.0,0.0,0.7493698630136987,POINT (-86.5768996 36.6999985)
2346,181331,01-JUL-18,30-JUN-19,As Submitted,2,MCDOWELL ARH,9879 ROUTE 122,247,MCDOWELL,KY,41647,NaN,21.0,7665.0,784.0,4.0,1460.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,1750.0,4.0,1460.0,65.0,0.04452054794520548,0.1917808219178082,POINT (-82.74716100000001 37.4567516)
2348,182002,01-JUL-18,30-JUN-19,As Submitted,1,CONTINUING CARE HOSPITAL,150 N. EAGLE STREET,NaN,LEXINGTON,KY,40509,FAYETTE,23.0,8395.0,7451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8395.0,7451.0,0.0,0.0,0.0,0.0,0.887552114353782,POINT (-84.4390925 37.9991882)
2369,184014,01-JAN-18,31-DEC-18,As Submitted,4,FIRST HOSPITAL HOPKINSVILLE,210 WEST 17TH STREET,NaN,HOPKINSVILLE,KY,42240,CHRISTIAN,97.0,35405.0,23284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,35405.0,23284.0,0.0,0.0,0.0,0.0,0.6576472249682248,POINT (-87.49321430000001 36.862141)
2390,190027,01-JUL-18,30-JUN-19,As Submitted,1,ST. PATRICK HOSPITAL,524 DR. MICHAEL DEBAKEY DRIVE,NaN,LAKE CHARLES,LA,70601,NaN,83.0,30295.0,23146.0,17.0,6205.0,4559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36500.0,27705.0,17.0,6205.0,4559.0,0.7347300564061241,0.7590410958904109,POINT (-93.2276887 30.2161748)
2392,190036,01-JAN-18,31-DEC-18,As Submitted,2,OCHSNER CLINIC FOUNDATION,1516 JEFFERSON HIGHWAY,NaN,NEW ORLEANS,LA,70121,JEFFERSON,733.0,267545.0,164107.0,100.0,36500.0,27423.0,34.0,12410.0,10273.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,351495.0,233824.0,134.0,48910.0,37696.0,0.7707217337967696,0.665227101381243,POINT (-90.1437442 29.9630865)
2395,190041,01-JUL-18,30-JUN-19,As Submitted,1,HIGHLAND MEDICAL CENTER,ONE ST MARY PLACE,21976,SHREVEPORT,LA,71101,NaN,151.0,55115.0,28275.0,20.0,7300.0,4911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,70080.0,37380.0,20.0,7300.0,4911.0,0.6727397260273973,0.5333904109589042,POINT (-93.74987179999999 32.4951204)
2421,190133,01-JUL-18,30-JUN-19,As Submitted,11,ALLEN PARISH HOSPITAL,HWY 190 WEST,1670,KINDER,LA,70648,ALLEN,25.0,9125.0,1107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,1543.0,0.0,0.0,0.0,0.0,0.1690958904109589,POINT (-92.8558012 30.4924331)
2442,190205,01-SEP-18,28-FEB-19,As Submitted,4,WOMENS AND CHILDRENS HOSPITAL,4600 AMBASSADOR CAFFERY PKWY,NaN,LAFAYETTE,LA,70508,LAFAYETTE PARISH,97.0,17557.0,6948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,29141.0,17937.0,0.0,0.0,0.0,0.0,0.6155245187193301,POINT (-92.0452873 30.1521072)
2471,190307,01-JAN-18,31-DEC-18,As Submitted,6,SOUTH CAMERON MEMORIAL HOSPITAL,5360 W CREOLE HWY,NaN,CAMERON,LA,70631,CAMERON,25.0,9125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-93.1656904 29.8080993)
2490,191315,01-OCT-17,30-SEP-18,Amended,11,HARDTNER MEDICAL CENTER,1102 N. PINE ROAD,NaN,OLLA,LA,71465-,NaN,25.0,9125.0,2233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,3283.0,0.0,0.0,0.0,0.0,0.35978082191780825,POINT (-92.27614130000001 31.8592101)
2502,192004,01-SEP-18,14-JUN-19,As Submitted,4,PROMISE HOSPITAL OF BATON ROUGE,5130 MANCUSO LANE,NaN,BATON ROUGE,LA,70809,E. BATON ROUGE PARISH,54.0,15498.0,12879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,15498.0,12879.0,0.0,0.0,0.0,0.0,0.8310104529616724,POINT (-91.1022162 30.3974588)
2513,192016,01-JUN-18,31-MAY-19,As Submitted,4,SPECIALTY HOSPITAL,309 JACKSON ST  7TH FLOOR,NaN,MONROE,LA,71201-7407,OUACHITA PARISH,32.0,11680.0,8629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11680.0,8629.0,0.0,0.0,0.0,0.0,0.7387842465753425,POINT (-92.1134132 32.5000609)
2539,192052,01-APR-18,31-MAR-19,As Submitted,4,SPECIALTY HOSPITAL OF WINNFIELD,915 FIRST STREET,NaN,WINNFIELD,LA,71483,WINN PARISH,20.0,7300.0,4403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7300.0,4403.0,0.0,0.0,0.0,0.0,0.6031506849315068,POINT (-92.6312563 31.9323502)
2545,193058,01-JUN-18,31-MAY-19,As Submitted,6,BASTROP REHABILITATION HOSPITAL,4310 SOUTH GRAND STREET,NaN,MONROE,LA,71202,OUACHITA PARISH,12.0,4380.0,2248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4380.0,2248.0,0.0,0.0,0.0,0.0,0.5132420091324201,POINT (-92.1165369 32.457402)
2550,193070,01-JUL-18,30-JUN-19,As Submitted,4,MMO REHAB AND WELLNESS CENTER,4660 CONVENTION STREET,NaN,BATON ROUGE,LA,70802,E. BATON ROUGE PARISH,10.0,3650.0,2497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3650.0,2497.0,0.0,0.0,0.0,0.0,0.6841095890410959,POINT (-91.1410182 30.449454)
2553,193079,01-JAN-18,31-DEC-18,As Submitted,4,UNITED MEDICAL REHABILITATION HOSPIT,15717 BELLE DRIVE,NaN,HAMMOND,LA,70403,TANGIPAHOA PARISH,40.0,14600.0,7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14600.0,7681.0,0.0,0.0,0.0,0.0,0.5260958904109589,POINT (-90.45779520000001 30.461169)
2563,193098,01-JAN-18,31-DEC-18,As Submitted,4,COBALT REHABILITATION HOSPITAL,3801 BIENVILLE STREET,NaN,NEW ORLEANS,LA,70119,NaN,60.0,21900.0,8118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,21900.0,8118.0,0.0,0.0,0.0,0.0,0.37068493150684934,POINT (-90.0963631 29.975012)
2568,194008,01-JUL-18,30-JUN-19,As Submitted,10,EAST LA STATE HOSPITAL,4502 HIGHWAY 951,498,JACKSON,LA,70748,EAST FELICIANA,337.0,121910.0,109011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,121910.0,109011.0,0.0,0.0,0.0,0.0,0.8941924370437208,POINT (-91.2010823 30.8290775)
2575,194056,01-MAY-18,30-APR-19,As Submitted,4,COMMUNITY CARE HOSPITAL,1421 GENERAL TAYLOR,NaN,NEW ORLEANS,LA,70115,ORLEANS,38.0,13870.0,9678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,13870.0,9678.0,0.0,0.0,0.0,0.0,0.6977649603460706,POINT (-89.9354 30.0533)
2582,194078,01-JAN-18,15-FEB-18,Settled,4,OPTIMA SPECIALTY HOSPITAL,1131 RUE DE BELIER,NaN,LAFAYETTE,LA,70506,NaN,24.0,1104.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1104.0,789.0,0.0,0.0,0.0,0.0,0.7146739130434783,POINT (-92.0896393 30.1851993)
2588,194084,01-JAN-18,31-DEC-18,As Submitted,4,BEACON BEHAVIORAL HOSPITAL N.O. INC,4601 BLUEBONNET BLVD,NaN,BATON ROUGE,LA,70809,NaN,34.0,12410.0,9494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,12410.0,9494.0,0.0,0.0,0.0,0.0,0.7650282030620468,POINT (-91.08011169999999 30.4069885)
2589,194085,01-JAN-18,31-DEC-18,Amended,4,COMPASS BEHAVIORAL CENTER  LLC,P.O. BOX 425,NaN,CROWLEY,LA,70527,ACADIA PARISH,34.0,12410.0,4125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,12410.0,4125.0,0.0,0.0,0.0,0.0,0.3323932312651088,POINT (-92.3688403 30.219505)
2592,194088,01-JAN-18,31-DEC-18,As Submitted,4,ST. JAMES BEHAVIORAL HEALTH HOSP,3136 SOUTH ST. LANDRY ROAD,NaN,GONZALES,LA,70737,ASCENSION,28.0,10220.0,9688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,10220.0,9688.0,0.0,0.0,0.0,0.0,0.947945205479452,POINT (-90.9531372 30.2035111)
2593,194089,01-JAN-18,31-DEC-18,As Submitted,4,GENESIS BEHAVIORAL HOSPITAL INC,847 STEWART STREET,NaN,LAFAYETTE,LA,70501,NaN,18.0,6570.0,5732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6570.0,5732.0,0.0,0.0,0.0,0.0,0.8724505327245053,POINT (-92.00886920000001 30.2158902)
2602,194102,01-JAN-18,31-DEC-18,As Submitted,4,BEACON BEHAVIORAL HOSPITAL LUTCHER,4601 BLUEBONNET BLVD,NaN,BATON ROUGE,LA,70809,NaN,19.0,6935.0,5927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6935.0,5927.0,0.0,0.0,0.0,0.0,0.8546503244412401,POINT (-91.070796 30.427321)
2611,194113,07-DEC-17,31-DEC-18,As Submitted,4,LAKE PINES HOSPITAL  LLC,3639 LOYOLA AVE,NaN,KENNER,LA,70065,JEFFERSON,36.0,14040.0,10231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,14040.0,10231.0,0.0,0.0,0.0,0.0,0.7287037037037037,POINT (-90.27124790000001 30.0280122)
2619,200020,01-JAN-18,31-DEC-18,As Submitted,2,YORK HOSPITAL,15 HOSPITAL DR,NaN,YORK,ME,03909-,YORK,61.0,22265.0,11691.0,5.0,1825.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,24090.0,12922.0,5.0,1825.0,1231.0,0.6745205479452054,0.5364051473640514,POINT (-70.65225770000001 43.142537)
2635,201302,01-OCT-18,31-DEC-18,As Submitted,2,LINCOLNHEALTH,6 ST. ANDREWS LANE,417,BOOTHBAY HARBOR,ME,04538-,LINCOLN,21.0,7665.0,5709.0,4.0,1460.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,7158.0,4.0,1460.0,408.0,0.27945205479452057,0.7844383561643835,POINT (-69.63886320000002 43.8502652)
2657,210003,01-JUL-18,30-JUN-19,As Submitted,2,PRINCE GEORGES HOSPITAL CENTER  INC,7300 VAN DUSEN ROAD,NaN,LAUREL,MD,20707,PRINCE GEORGES,323.0,96846.0,53787.0,34.0,10560.0,8864.0,10.0,3650.0,3274.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,116531.0,70686.0,44.0,14210.0,12138.0,0.8541871921182266,0.6065853721327372,POINT (-76.88097449999999 39.0868489)
2665,210012,01-JUL-18,30-JUN-19,As Submitted,2,SINAI HOSPITAL OF BALTIMORE  INC.,2401 W. BELEVDERE AVENUE,NaN,BALTIMORE,MD,21215,BALTIMORE,362.0,132130.0,91675.0,35.0,12775.0,8514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,152570.0,109812.0,35.0,12775.0,8514.0,0.6664579256360078,0.7197483122501147,POINT (-76.712013 39.255014)
2667,210015,01-JUL-18,30-JUN-19,As Submitted,2,MEDSTAR FRANKLIN SQUARE MEDICAL CTR,9000 FRANKLIN SQUARE DR,NaN,BALTIMORE,MD,21237,BALTIMORE,321.0,117165.0,71393.0,26.0,9490.0,14849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,126655.0,95909.0,26.0,9490.0,14849.0,1.564699683877766,0.7572460621373022,POINT (-76.4780849 39.3517365)
2668,210016,01-JAN-18,31-DEC-18,As Submitted,1,WASHINGTON ADVENTIST HOSPITAL,7600 CARROLL AVENUE,NaN,TAKOMA PARK,MD,20912,MONTGOMERY,172.0,62598.0,40220.0,26.0,9490.0,5646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,72088.0,51881.0,26.0,9490.0,5646.0,0.5949420442571127,0.7196898235489957,POINT (-77.0019629 38.9854486)
2689,210045,01-JUL-18,30-JUN-19,As Submitted,2,MCCREADY MEMORIAL HOSPITAL,201 HALL HIGHWAY,NaN,CRISFIELD,MD,21817,SOMERSET,3.0,1095.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1095.0,571.0,0.0,0.0,0.0,0.0,0.5214611872146119,POINT (-75.8524402 37.9975415)
2694,210055,01-JUL-18,01-JAN-19,As Submitted,2,LAUREL REGIONAL HOSPITAL,7300 VAN DUSEN ROAD,NaN,LAUREL,MD,20707,PRINCE GEORGES,114.0,21090.0,8811.0,10.0,1850.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,22940.0,9386.0,10.0,1850.0,575.0,0.3108108108108108,0.4091543156059285,POINT (-76.88159589999999 39.08733489999999)
2695,210056,01-JUL-18,30-JUN-19,As Submitted,2,GOOD SAMARITAN HOSPITAL,5601 LOCH RAVEN BLVD,NaN,BALTIMORE,MD,21239,BALTIMORE,184.0,67160.0,33402.0,17.0,6205.0,4016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,73365.0,37418.0,17.0,6205.0,4016.0,0.6472199838839645,0.5100252163838342,POINT (-76.712013 39.255014)
2696,210057,01-JAN-18,31-DEC-18,As Submitted,1,SHADY GROVE ADVENTIST HOSPITAL,9901 MEDICAL CENTER DRIVE,NaN,ROCKVILLE,MD,20850,MONTGOMERY,280.0,102200.0,72129.0,27.0,9855.0,5517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,123370.0,94261.0,27.0,9855.0,5517.0,0.5598173515981735,0.7640512280132934,POINT (-77.1985483 39.0989007)
2715,214003,01-JUL-18,30-JUN-19,As Submitted,2,BROOK LANE PSYCHIATRIC CENTER,BROOK LANE PSYCHIATRIC CENTER,1945,HAGERSTOWN,MD,21742-,WASHINGTON,65.0,23725.0,17010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,23725.0,17010.0,0.0,0.0,0.0,0.0,0.7169652265542676,POINT (-77.6087065 39.6792487)
2724,220011,01-JUL-18,30-JUN-19,As Submitted,13,CAMBRIDGE HEALTH ALLIANCE,350 MAIN STREET,NaN,MALDEN,MA,02148,MIDDLESEX,182.0,66430.0,32376.0,18.0,6570.0,2727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,73000.0,37595.0,18.0,6570.0,2727.0,0.41506849315068495,0.515,POINT (-71.07262830000001 42.4201298)
2750,220070,01-OCT-17,30-SEP-18,Amended,2,MELROSEWAKEFIELD HEALTHCARE  INC,170 GOVERNORS AVE,NaN,MEDFORD,MA,02155,MIDDLESEX,138.0,50370.0,30733.0,12.0,4380.0,2172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,58400.0,35832.0,12.0,4380.0,2172.0,0.4958904109589041,0.6135616438356164,POINT (-71.11116130000001 42.4259231)
2782,220175,01-FEB-18,31-JAN-19,As Submitted,4,METROWEST MEDICAL CENTER,67 UNION STREET,NaN,NATICK,MA,01760,MIDDLESEX,194.0,70681.0,26500.0,22.0,8030.0,3906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,78711.0,33926.0,22.0,8030.0,3906.0,0.486425902864259,0.4310198066343967,POINT (-71.3355858 42.2808749)
2811,223300,01-OCT-17,30-SEP-18,As Submitted,2,FRANCISCAN HOSPITAL FOR CHILDREN,30 WARREN STREET,NaN,BOSTON,MA,02135,MIDDLESEX,112.0,40880.0,23623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,40880.0,23623.0,0.0,0.0,0.0,0.0,0.577862035225049,POINT (-71.21008999999999 42.375659)
2818,224018,01-JAN-18,31-DEC-18,As Submitted,4,HUMAN RESOURCE INSTITUTE,227 BABCOCK STREET,NaN,BOSTON,MA,02146,NORFOLK,66.0,24090.0,21720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,24090.0,21720.0,0.0,0.0,0.0,0.0,0.9016189290161893,POINT (-70.95827 42.26904)
2819,224021,01-JAN-18,31-DEC-18,As Submitted,4,FULLER MEMORIAL HOSPITAL,200 MAY STREET,NaN,SOUTH ATTLEBORO,MA,02703,BRISTOL,103.0,37595.0,35683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,37595.0,35683.0,0.0,0.0,0.0,0.0,0.9491421731613247,POINT (-71.36001400000001 41.924043)
2821,224023,01-JAN-18,31-DEC-18,As Submitted,4,PEMBROKE HOSPITAL,45 CLAPBOARD STREET,NaN,WESTWOOD,MA,02090,NORFOLK,124.0,45260.0,34593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,45260.0,34593.0,0.0,0.0,0.0,0.0,0.7643172779496243,POINT (-71.22408 42.206853)
2826,224038,01-JAN-18,31-DEC-18,As Submitted,4,WALDEN BEHAVIORAL CARE,51 SAWYER ROAD,NaN,WALTHAM,MA,02453,SUFFOLK,48.0,17520.0,16378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17520.0,16378.0,0.0,0.0,0.0,0.0,0.9348173515981735,POINT (-71.25854699999999 42.36131109999999)
2834,230003,01-JUL-18,30-JUN-19,As Submitted,2,SPECTRUM HEALTH ZEELAND,100 S PINE STREET,NaN,ZEELAND,MI,49464,OTTAWA,48.0,17520.0,5860.0,7.0,2555.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,20075.0,7494.0,7.0,2555.0,413.0,0.16164383561643836,0.37330012453300127,POINT (-86.0195712 42.8046183)
2847,230031,01-JAN-18,31-DEC-18,Amended,4,LAKE HURON MEDICAL CENTER,2601 ELECTRIC AVENUE,NaN,PORT HURON,MI,48060,ST. CLAIR,146.0,53290.0,11318.0,8.0,2920.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,56210.0,12746.0,8.0,2920.0,1428.0,0.48904109589041095,0.22675680483899663,POINT (-82.45 42.97)
2854,230046,01-JUL-18,30-JUN-19,As Submitted,13,UNIV OF MI HOSPITALS & HLTH CTRS,2301 COMMONWEALTH BLVD,NaN,ANN ARBOR,MI,48105-1500,WASHTENAW,718.0,262071.0,217512.0,20.0,7300.0,6019.0,10.0,3650.0,3014.0,10.0,3650.0,2674.0,0.0,0.0,0.0,931.0,339816.0,287361.0,40.0,14600.0,11707.0,0.8018493150684931,0.8456370506391694,POINT (-83.72787950000001 42.283286)
