HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Pueblo, CO",615,28,238,426,7,17,"138,550","32,449","55,420","11,763","2,586",784,329%,184%,127%,392,165%,92%,64%,256,108%,60%,42%,172,2457%,1012%,614%,86,1229%,506%,307%,56,800%,329%,200%
"Raleigh, NC","3,560",375,"1,124","2,342",160,267,"1,670,043","272,076","668,017","137,262","29,026","9,151",814%,391%,257%,"4,575",407%,195%,129%,"2,984",265%,127%,84%,"1,935",1209%,725%,516%,968,605%,363%,258%,631,394%,236%,168%
"Rapid City, SD",878,46,343,610,20,33,"173,590","37,388","69,436","14,614","3,181",974,284%,160%,111%,487,142%,80%,55%,318,93%,52%,36%,212,1060%,642%,461%,106,530%,321%,230%,69,345%,209%,150%
"Reading, PA","1,329",99,559,944,50,75,"466,917","99,775","186,767","39,277","8,543","2,618",468%,277%,197%,"1,309",234%,139%,98%,854,153%,90%,64%,570,1140%,760%,576%,285,570%,380%,288%,186,372%,248%,188%
"Redding, CA",786,109,284,535,58,83,"276,179","64,591","110,472","23,444","5,154","1,563",550%,292%,199%,781,275%,146%,99%,510,180%,95%,65%,344,593%,414%,316%,172,297%,207%,158%,112,193%,135%,103%
"Reno, NV","1,886",406,660,"1,273",128,267,"605,953","127,753","242,381","50,907","11,056","3,394",514%,267%,180%,"1,697",257%,133%,90%,"1,107",168%,87%,59%,737,576%,276%,182%,369,288%,138%,91%,240,188%,90%,59%
"Richmond, VA","4,478",465,"1,488","2,983",144,305,"1,409,076","264,187","563,630","117,129","25,116","7,809",525%,262%,174%,"3,904",262%,131%,87%,"2,546",171%,85%,57%,"1,674",1163%,549%,360%,837,581%,274%,180%,546,379%,179%,117%
"Ridgewood, NJ",814,83,275,544,35,59,"338,732","65,551","135,493","28,235","6,074","1,882",684%,346%,231%,941,342%,173%,116%,614,223%,113%,75%,405,1157%,686%,488%,202,577%,342%,243%,132,377%,224%,159%
"Roanoke, VA","2,189",272,593,"1,391",113,192,"569,741","127,897","227,896","48,160","10,536","3,211",541%,231%,147%,"1,605",271%,115%,73%,"1,047",177%,75%,48%,702,621%,366%,258%,351,311%,183%,129%,229,203%,119%,84%
"Rochester, MN","1,835",240,594,"1,215",90,165,"320,367","71,522","128,147","27,066","5,917","1,804",304%,148%,98%,902,152%,74%,49%,588,99%,48%,32%,394,438%,239%,164%,197,219%,119%,82%,129,143%,78%,54%
"Rochester, NY","3,766",289,827,"2,297",87,188,"1,036,499","211,611","414,600","86,815","18,787","5,788",700%,252%,154%,"2,894",350%,126%,77%,"1,887",228%,82%,50%,"1,252",1439%,666%,433%,626,720%,333%,217%,408,469%,217%,141%
"Rockford, IL","1,320",199,613,966,96,147,"552,131","118,035","220,852","46,447","10,103","3,096",505%,320%,235%,"1,548",253%,160%,117%,"1,010",165%,105%,77%,674,702%,459%,339%,337,351%,229%,169%,220,229%,150%,111%
"Rome, GA",733,74,229,481,16,45,"221,920","45,706","88,768","18,603","4,030","1,240",541%,258%,169%,620,271%,129%,85%,404,176%,84%,55%,269,1681%,598%,364%,134,838%,298%,181%,88,550%,196%,119%
"Royal Oak, MI","2,781",324,858,"1,819",97,211,"556,198","117,512","222,479","46,736","10,153","3,116",363%,171%,112%,"1,558",182%,86%,56%,"1,016",118%,56%,37%,677,698%,321%,209%,338,348%,160%,104%,221,228%,105%,68%
"Sacramento, CA","4,381",616,"1,315","2,848",224,420,"2,076,640","403,030","830,656","173,140","37,261","11,543",878%,405%,263%,"5,771",439%,203%,132%,"3,764",286%,132%,86%,"2,484",1109%,591%,403%,"1,242",554%,296%,202%,810,362%,193%,131%
"Saginaw, MI","2,396",208,962,"1,679",63,136,"489,824","124,235","195,930","41,948","9,316","2,797",291%,167%,117%,"1,398",145%,83%,58%,912,95%,54%,38%,621,986%,457%,299%,311,494%,229%,150%,203,322%,149%,98%
"Salem, OR",487,64,154,321,10,37,"255,161","50,897","102,064","21,326","4,603","1,422",923%,443%,292%,711,462%,221%,146%,464,301%,145%,95%,307,3070%,830%,480%,153,1530%,414%,239%,100,1000%,270%,156%
"Salinas, CA",740,70,290,515,37,54,"303,247","51,843","121,299","25,017","5,315","1,668",575%,324%,225%,834,288%,162%,113%,544,188%,106%,74%,354,957%,656%,506%,177,478%,328%,253%,116,314%,215%,166%
"Salisbury, MD",598,59,187,392,26,43,"371,513","100,254","148,605","32,045","7,174","2,136",1142%,545%,357%,"1,068",571%,272%,179%,697,373%,178%,117%,478,1838%,1112%,810%,239,919%,556%,405%,156,600%,363%,264%
"Salt Lake City, UT","3,999",526,"1,804","2,902",277,402,"1,552,687","249,737","621,075","127,494","26,929","8,500",471%,293%,213%,"4,250",236%,146%,106%,"2,772",154%,96%,69%,"1,795",648%,447%,341%,898,324%,223%,171%,585,211%,146%,111%
"San Angelo, TX",584,35,323,454,17,26,"126,084","26,085","50,434","10,574","2,292",705,218%,155%,121%,352,109%,78%,60%,230,71%,51%,39%,153,900%,588%,437%,76,447%,292%,217%,50,294%,192%,143%
"San Antonio, TX","6,234",747,"2,477","4,356",216,482,"2,191,766","376,149","876,706","180,868","38,439","12,058",487%,277%,193%,"6,029",243%,138%,97%,"3,932",159%,90%,63%,"2,563",1187%,532%,343%,"1,281",593%,266%,171%,836,387%,173%,112%
"San Bernardino, CA","5,691",690,"2,125","3,908",231,460,"2,406,889","366,977","962,756","196,869","41,379","13,125",618%,336%,231%,"6,562",309%,168%,115%,"4,280",201%,110%,75%,"2,759",1194%,600%,400%,"1,379",597%,300%,200%,900,390%,196%,130%
"San Diego, CA","6,178",802,"1,949","4,064",358,580,"3,005,567","497,077","1,202,227","247,312","52,373","16,487",846%,406%,267%,"8,244",423%,203%,133%,"5,376",276%,132%,87%,"3,492",975%,602%,435%,"1,746",488%,301%,218%,"1,139",318%,196%,142%
"San Francisco, CA","3,776",439,"1,139","2,458",203,321,"1,272,753","236,390","509,101","105,712","22,645","7,047",619%,287%,187%,"3,524",309%,143%,93%,"2,298",202%,93%,61%,"1,510",744%,470%,344%,755,372%,235%,172%,492,242%,153%,112%
"San Jose, CA","2,547",341,916,"1,731",146,244,"1,456,607","234,573","582,643","119,616","25,267","7,974",871%,461%,313%,"3,987",435%,230%,157%,"2,600",284%,150%,102%,"1,684",1153%,690%,494%,842,577%,345%,247%,549,376%,225%,161%
"San Luis Obispo, CA",390,54,202,296,33,44,"213,703","46,965","85,481","18,026","3,934","1,202",595%,406%,308%,601,298%,203%,154%,392,194%,132%,101%,262,794%,595%,485%,131,397%,298%,243%,86,261%,195%,159%
"San Mateo County, CA","1,555",198,452,"1,003",88,143,"666,874","128,195","266,750","55,554","11,944","3,704",819%,369%,238%,"1,852",410%,185%,119%,"1,208",267%,120%,78%,796,905%,557%,402%,398,452%,278%,201%,260,295%,182%,131%
"Santa Barbara, CA",858,82,246,552,35,59,"359,828","67,153","143,931","29,899","6,408","1,993",810%,361%,232%,997,405%,181%,116%,650,264%,118%,76%,427,1220%,724%,521%,214,611%,363%,261%,139,397%,236%,170%
"Santa Cruz, CA",359,22,169,264,6,14,"229,413","39,590","91,765","18,940","4,027","1,263",747%,478%,352%,631,373%,239%,176%,412,244%,156%,115%,268,4467%,1914%,1218%,134,2233%,957%,609%,88,1467%,629%,400%
"Santa Rosa, CA","1,272",93,306,789,45,69,"402,885","88,435","161,154","33,980","7,414","2,265",740%,287%,178%,"1,133",370%,144%,89%,739,242%,94%,58%,494,1098%,716%,531%,247,549%,358%,266%,161,358%,233%,173%
"Sarasota, FL","1,309",159,604,957,77,118,"374,960","156,791","149,984","34,455","8,244","2,297",380%,240%,175%,"1,148",190%,120%,88%,749,124%,78%,57%,550,714%,466%,346%,275,357%,233%,173%,179,232%,152%,113%
"Savannah, GA","2,050",163,650,"1,350",55,109,"701,923","139,656","280,769","58,653","12,657","3,910",602%,290%,191%,"1,955",301%,145%,95%,"1,275",196%,94%,62%,844,1535%,774%,518%,422,767%,387%,259%,275,500%,252%,169%
"Sayre, PA",591,62,215,403,28,45,"153,089","36,987","61,236","13,040","2,878",869,404%,216%,147%,435,202%,108%,74%,283,132%,70%,48%,192,686%,427%,310%,96,343%,213%,155%,63,225%,140%,102%
"Scranton, PA",782,65,324,553,31,48,"253,817","63,450","101,527","21,701","4,810","1,447",447%,262%,185%,723,223%,131%,92%,472,146%,85%,60%,321,1035%,669%,494%,160,516%,333%,246%,105,339%,219%,162%
"Seattle, WA","4,700",651,"1,366","3,033",209,430,"2,421,217","421,176","968,487","200,017","42,565","13,334",976%,440%,284%,"6,667",488%,220%,142%,"4,348",318%,143%,93%,"2,838",1358%,660%,436%,"1,419",679%,330%,218%,925,443%,215%,142%
"Shreveport, LA","2,468",283,"1,080","1,774",111,197,"531,003","109,269","212,401","44,508","9,640","2,967",275%,167%,120%,"1,484",137%,84%,60%,968,90%,55%,39%,643,579%,326%,227%,321,289%,163%,113%,210,189%,107%,74%
"Sioux City, IA",909,59,362,635,23,41,"195,685","41,561","78,274","16,451","3,576","1,097",303%,173%,121%,548,151%,86%,60%,358,99%,56%,39%,238,1035%,580%,403%,119,517%,290%,202%,78,339%,190%,132%
"Sioux Falls, SD","4,065",103,"1,653","2,859",52,77,"603,563","129,561","241,425","50,794","11,054","3,386",205%,118%,83%,"1,693",102%,59%,42%,"1,104",67%,39%,27%,737,1417%,957%,716%,368,708%,478%,357%,240,462%,312%,233%
"Slidell, LA",536,137,338,437,70,103,"149,492","32,656","59,797","12,602","2,748",840,249%,192%,157%,420,124%,96%,78%,274,81%,63%,51%,183,261%,178%,134%,92,131%,89%,67%,60,86%,58%,44%
"South Bend, IN","1,273",148,551,912,70,109,"539,539","108,077","215,816","45,112","9,742","3,007",546%,330%,236%,"1,504",273%,165%,118%,981,178%,108%,77%,649,927%,595%,439%,325,464%,298%,220%,212,303%,194%,143%
"Spartanburg, SC",809,125,280,545,65,95,"300,991","64,361","120,396","25,321","5,508","1,688",603%,310%,209%,844,301%,155%,104%,550,196%,101%,68%,367,565%,386%,294%,184,283%,194%,147%,120,185%,126%,96%
"Spokane, WA","3,652",355,"1,657","2,655",134,245,"1,210,559","251,604","484,224","101,564","22,022","6,771",409%,255%,185%,"3,385",204%,127%,93%,"2,208",133%,83%,60%,"1,468",1096%,599%,414%,734,548%,300%,207%,479,357%,196%,135%
"Springdale, AR","1,144",135,616,880,73,104,"437,572","77,638","175,029","36,206","7,720","2,414",392%,274%,211%,"1,207",196%,137%,106%,787,128%,89%,69%,515,705%,495%,381%,257,352%,247%,190%,168,230%,162%,124%
"Springfield, IL","2,426",213,"1,172","1,799",79,146,"637,463","146,057","254,985","53,997","11,841","3,600",307%,200%,148%,"1,800",154%,100%,74%,"1,174",100%,65%,48%,789,999%,540%,370%,395,500%,271%,185%,257,325%,176%,121%
"Springfield, MA","1,588",195,500,"1,044",73,134,"600,306","123,079","240,122","50,300","10,890","3,353",671%,321%,211%,"1,677",335%,161%,106%,"1,093",219%,105%,69%,726,995%,542%,372%,363,497%,271%,186%,237,325%,177%,122%
"Springfield, MO","2,078",226,819,"1,449",67,147,"688,462","166,812","275,385","58,662","12,952","3,911",478%,270%,188%,"1,955",239%,135%,94%,"1,275",156%,88%,61%,863,1288%,587%,382%,432,645%,294%,191%,282,421%,192%,125%
"St. Cloud, MN",898,45,227,563,16,31,"203,089","38,678","81,236","16,905","3,631","1,127",496%,200%,126%,564,248%,100%,63%,368,162%,65%,41%,242,1513%,781%,538%,121,756%,390%,269%,79,494%,255%,176%
"St. Joseph, MI",393,20,238,316,9,14,"110,235","26,066","44,094","9,368","2,062",625,263%,198%,159%,312,131%,99%,79%,204,86%,65%,52%,137,1522%,979%,685%,69,767%,493%,345%,45,500%,321%,225%
"St. Louis, MO","10,187","1,180","4,326","7,257",547,864,"2,666,497","532,142","1,066,599","222,875","48,109","14,858",343%,205%,146%,"7,429",172%,102%,73%,"4,845",112%,67%,48%,"3,207",586%,371%,272%,"1,604",293%,186%,136%,"1,046",191%,121%,89%
"St. Paul, MN","1,604",183,582,"1,093",48,116,"856,536","148,362","342,614","70,734","15,046","4,716",810%,431%,294%,"2,358",405%,216%,147%,"1,538",264%,141%,96%,"1,003",2090%,865%,548%,502,1046%,433%,274%,327,681%,282%,179%
"St. Petersburg, FL","1,424",139,613,"1,018",33,86,"354,891","90,670","141,956","30,417","6,761","2,028",331%,199%,142%,"1,014",165%,100%,71%,661,108%,65%,46%,451,1367%,524%,324%,225,682%,262%,162%,147,445%,171%,106%
"Stockton, CA",918,121,329,623,41,81,"464,979","77,159","185,992","38,271","8,107","2,551",775%,409%,278%,"1,276",388%,205%,139%,832,253%,134%,91%,540,1317%,667%,446%,270,659%,333%,223%,176,429%,217%,145%
"Sun City, AZ",845,119,364,604,81,100,"237,503","104,547","95,001","22,023","5,317","1,468",403%,243%,174%,734,202%,122%,87%,479,132%,79%,57%,354,437%,354%,297%,177,219%,177%,149%,116,143%,116%,97%
"Syracuse, NY","3,062",243,950,"2,006",77,160,"832,908","165,881","333,163","69,604","15,021","4,640",488%,231%,152%,"2,320",244%,116%,76%,"1,513",159%,75%,49%,"1,001",1300%,626%,412%,501,651%,313%,206%,327,425%,204%,135%
"Tacoma, WA","1,388",197,366,877,62,129,"642,251","109,410","256,900","52,969","11,249","3,531",965%,403%,254%,"1,766",483%,201%,127%,"1,152",315%,131%,83%,750,1210%,581%,381%,375,605%,291%,190%,245,395%,190%,124%
"Takoma Park, MD","1,181",150,294,738,48,99,"789,639","122,832","315,856","64,680","13,620","4,312",1467%,584%,365%,"2,156",733%,292%,183%,"1,406",478%,191%,119%,908,1892%,917%,605%,454,946%,459%,303%,296,617%,299%,197%
"Tallahassee, FL","2,242",193,603,"1,423",50,122,"668,985","118,753","267,594","55,355","11,804","3,690",612%,259%,165%,"1,845",306%,130%,82%,"1,203",200%,85%,54%,787,1574%,645%,408%,393,786%,322%,204%,257,514%,211%,133%
"Tampa, FL","4,005",515,"1,289","2,647",165,340,"1,170,264","218,181","468,106","97,231","20,837","6,482",503%,245%,162%,"3,241",251%,122%,81%,"2,114",164%,80%,53%,"1,389",842%,409%,270%,695,421%,204%,135%,453,275%,133%,88%
"Temple, TX",985,162,390,688,50,106,"409,683","59,971","163,873","33,415","6,998","2,228",571%,324%,226%,"1,114",286%,162%,113%,726,186%,106%,74%,467,934%,441%,288%,233,466%,220%,144%,152,304%,143%,94%
"Terre Haute, IN",468,64,207,337,37,50,"140,148","28,559","56,059","11,736","2,539",782,378%,232%,167%,391,189%,116%,84%,255,123%,76%,54%,169,457%,338%,264%,85,230%,170%,133%,55,149%,110%,86%
"Texarkana, AR",656,90,383,519,62,76,"198,305","43,677","79,322","16,731","3,652","1,115",291%,215%,170%,558,146%,108%,85%,364,95%,70%,55%,243,392%,320%,270%,122,197%,161%,136%,79,127%,104%,88%
"Toledo, OH","2,679",456,"1,122","1,900",179,317,"767,671","155,817","307,068","64,264","13,898","4,284",382%,225%,160%,"2,142",191%,113%,80%,"1,397",125%,74%,52%,927,518%,292%,203%,463,259%,146%,102%,302,169%,95%,66%
"Topeka, KS","1,304",112,594,949,49,80,"352,693","68,579","141,077","29,411","6,331","1,961",330%,207%,150%,980,165%,103%,75%,639,108%,67%,49%,422,861%,528%,377%,211,431%,264%,188%,138,282%,173%,123%
"Traverse City, MI",756,26,293,525,7,17,"189,619","52,436","75,848","16,404","3,685","1,094",373%,208%,145%,547,187%,104%,72%,357,122%,68%,47%,246,3514%,1447%,946%,123,1757%,724%,473%,80,1143%,471%,308%
"Tucson, AZ","2,677",335,"1,184","1,930",161,248,"971,119","232,066","388,448","82,624","18,212","5,508",465%,285%,206%,"2,754",233%,143%,103%,"1,796",152%,93%,67%,"1,214",754%,490%,362%,607,377%,245%,181%,396,246%,160%,118%
"Tulsa, OK","4,185",486,"1,783","2,984",159,323,"1,070,712","213,442","428,285","89,485","19,314","5,966",335%,200%,143%,"2,983",167%,100%,71%,"1,945",109%,65%,46%,"1,288",810%,399%,265%,644,405%,199%,133%,420,264%,130%,86%
"Tupelo, MS","1,634",104,818,"1,226",61,83,"308,796","61,185","123,518","25,793","5,563","1,720",210%,140%,105%,860,105%,70%,53%,561,69%,46%,34%,371,608%,447%,357%,185,303%,223%,178%,121,198%,146%,116%
"Tuscaloosa, AL","1,066",143,297,681,37,90,"215,194","37,920","86,078","17,796","3,792","1,186",399%,174%,111%,593,200%,87%,56%,387,130%,57%,36%,253,684%,281%,177%,126,341%,140%,88%,82,222%,91%,57%
"Tyler, TX","1,338",224,527,932,127,176,"437,181","98,736","174,872","36,978","8,095","2,465",468%,264%,184%,"1,233",234%,132%,92%,804,153%,86%,60%,540,425%,307%,241%,270,213%,153%,121%,176,139%,100%,79%
"Urbana, IL","1,047",99,480,764,54,77,"361,763","69,031","144,705","30,117","6,470","2,008",418%,263%,192%,"1,004",209%,131%,96%,655,136%,86%,63%,431,798%,560%,435%,216,400%,281%,218%,141,261%,183%,142%
"Ventura, CA","1,087",163,278,682,94,128,"669,683","124,579","267,873","55,630","11,919","3,709",1334%,544%,341%,"1,854",667%,272%,171%,"1,209",435%,177%,111%,795,846%,621%,488%,397,422%,310%,244%,259,276%,202%,159%
"Victoria, TX",574,46,352,463,18,32,"115,052","25,536","46,021","9,714","2,122",648,184%,140%,113%,324,92%,70%,56%,211,60%,46%,37%,141,783%,441%,307%,71,394%,222%,154%,46,256%,144%,100%
"Waco, TX",720,60,261,490,24,42,"264,389","54,218","105,756","22,154","4,796","1,477",566%,301%,205%,738,283%,151%,103%,482,185%,98%,67%,320,1333%,762%,533%,160,667%,381%,267%,104,433%,248%,173%
"Washington, DC","5,055",601,"1,595","3,325",218,409,"2,179,021","378,878","871,608","180,003","38,304","12,000",752%,361%,237%,"6,000",376%,180%,119%,"3,913",245%,118%,77%,"2,554",1172%,624%,425%,"1,277",586%,312%,212%,833,382%,204%,139%
"Waterloo, IA",668,36,340,504,19,28,"167,837","36,303","67,135","14,135","3,079",942,277%,187%,141%,471,139%,93%,71%,307,90%,61%,46%,205,1079%,732%,569%,103,542%,368%,286%,67,353%,239%,186%
"Wausau, WI",403,72,152,278,45,59,"150,679","36,287","60,272","12,831","2,831",855,563%,308%,212%,428,282%,154%,106%,279,184%,100%,69%,189,420%,320%,263%,94,209%,159%,131%,62,138%,105%,86%
"White Plains, NY","2,973",243,597,"1,785",137,190,"896,882","178,478","358,753","74,945","16,173","4,996",837%,280%,168%,"2,498",418%,140%,84%,"1,629",273%,91%,55%,"1,078",787%,567%,444%,539,393%,284%,222%,352,257%,185%,145%
"Wichita Falls, TX",516,24,298,407,8,16,"154,615","31,786","61,846","12,959","2,806",864,290%,212%,167%,432,145%,106%,84%,282,95%,69%,55%,187,2338%,1169%,779%,94,1175%,588%,392%,61,763%,381%,254%
"Wichita, KS","4,590",442,"2,225","3,407",202,322,"951,715","198,669","380,686","79,880","17,329","5,325",239%,156%,116%,"2,663",120%,78%,58%,"1,737",78%,51%,38%,"1,155",572%,359%,261%,578,286%,180%,131%,377,187%,117%,85%
"Wilkes-Barre, PA",651,102,263,457,24,63,"198,135","47,118","79,254","16,849","3,712","1,123",427%,246%,173%,562,214%,123%,86%,366,139%,80%,56%,247,1029%,392%,242%,124,517%,197%,122%,81,338%,129%,79%
"Wilmington, DE","1,845",237,601,"1,223",62,149,"637,120","120,121","254,848","52,986","11,368","3,532",588%,289%,191%,"1,766",294%,144%,96%,"1,152",192%,94%,62%,758,1223%,509%,320%,379,611%,254%,160%,247,398%,166%,104%
"Wilmington, NC","1,005",90,251,628,17,54,"385,088","91,585","154,035","32,747","7,214","2,183",870%,348%,217%,"1,092",435%,174%,109%,712,284%,113%,71%,481,2829%,891%,534%,240,1412%,444%,267%,157,924%,291%,174%
"Winchester, VA","1,051",84,357,704,22,53,"350,240","74,330","140,096","29,443","6,399","1,963",550%,279%,187%,981,275%,139%,93%,640,179%,91%,61%,427,1941%,806%,508%,213,968%,402%,254%,139,632%,262%,165%
"Winston-Salem, NC","2,870",499,843,"1,857",40,269,"899,862","197,294","359,945","75,887","16,555","5,059",600%,272%,176%,"2,530",300%,136%,88%,"1,650",196%,89%,57%,"1,104",2760%,410%,221%,552,1380%,205%,111%,360,900%,134%,72%
"Worcester, MA","1,525",169,425,975,43,106,"652,386","122,123","260,954","54,222","11,625","3,615",851%,371%,237%,"1,807",425%,185%,118%,"1,179",277%,121%,77%,775,1802%,731%,459%,388,902%,366%,230%,253,588%,239%,150%
"Yakima, WA",369,58,200,285,33,45,"220,972","40,707","88,389","18,341","3,926","1,223",612%,429%,331%,611,306%,214%,166%,399,200%,140%,108%,262,794%,582%,452%,131,397%,291%,226%,85,258%,189%,147%
"York, PA",868,79,267,567,8,43,"343,334","73,773","137,334","28,897","6,289","1,926",721%,340%,222%,963,361%,170%,111%,628,235%,111%,72%,419,5238%,974%,530%,210,2625%,488%,266%,137,1713%,319%,173%
"Youngstown, OH","1,555",158,543,"1,049",66,112,"493,628","124,167","197,451","42,234","9,369","2,816",519%,268%,181%,"1,408",259%,134%,91%,918,169%,88%,59%,625,947%,558%,396%,312,473%,279%,197%,204,309%,182%,129%
