HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Richmond, VA","4,478",465,"1,488","2,983",144,305,"1,409,076","264,187","281,815","58,564","12,558","3,904",262%,131%,87%,"1,952",131%,65%,44%,"1,273",86%,43%,28%,837,581%,274%,180%,419,291%,137%,90%,273,190%,90%,59%
"Ridgewood, NJ",814,83,275,544,35,59,"338,732","65,551","67,746","14,117","3,037",941,342%,173%,116%,471,171%,87%,58%,307,112%,56%,38%,202,577%,342%,243%,101,289%,171%,122%,66,189%,112%,80%
"Roanoke, VA","2,189",272,593,"1,391",113,192,"569,741","127,897","113,948","24,080","5,268","1,605",271%,115%,73%,803,135%,58%,37%,523,88%,38%,24%,351,311%,183%,129%,176,156%,92%,65%,115,102%,60%,42%
"Rochester, MN","1,835",240,594,"1,215",90,165,"320,367","71,522","64,073","13,533","2,959",902,152%,74%,49%,451,76%,37%,25%,294,49%,24%,16%,197,219%,119%,82%,99,110%,60%,41%,64,71%,39%,27%
"Rochester, NY","3,766",289,827,"2,297",87,188,"1,036,499","211,611","207,300","43,408","9,393","2,894",350%,126%,77%,"1,447",175%,63%,38%,944,114%,41%,25%,626,720%,333%,217%,313,360%,166%,108%,204,234%,109%,71%
"Rockford, IL","1,320",199,613,966,96,147,"552,131","118,035","110,426","23,224","5,052","1,548",253%,160%,117%,774,126%,80%,59%,505,82%,52%,38%,337,351%,229%,169%,168,175%,114%,84%,110,115%,75%,55%
"Rome, GA",733,74,229,481,16,45,"221,920","45,706","44,384","9,301","2,015",620,271%,129%,85%,310,135%,64%,42%,202,88%,42%,28%,134,838%,298%,181%,67,419%,149%,91%,44,275%,98%,59%
"Royal Oak, MI","2,781",324,858,"1,819",97,211,"556,198","117,512","111,240","23,368","5,076","1,558",182%,86%,56%,779,91%,43%,28%,508,59%,28%,18%,338,348%,160%,104%,169,174%,80%,52%,110,113%,52%,34%
"Sacramento, CA","4,381",616,"1,315","2,848",224,420,"2,076,640","403,030","415,328","86,570","18,631","5,771",439%,203%,132%,"2,886",219%,101%,66%,"1,882",143%,66%,43%,"1,242",554%,296%,202%,621,277%,148%,101%,405,181%,96%,66%
"Saginaw, MI","2,396",208,962,"1,679",63,136,"489,824","124,235","97,965","20,974","4,658","1,398",145%,83%,58%,699,73%,42%,29%,456,47%,27%,19%,311,494%,229%,150%,155,246%,114%,75%,101,160%,74%,49%
"Salem, OR",487,64,154,321,10,37,"255,161","50,897","51,032","10,663","2,302",711,462%,221%,146%,355,231%,111%,73%,232,151%,72%,48%,153,1530%,414%,239%,77,770%,208%,120%,50,500%,135%,78%
"Salinas, CA",740,70,290,515,37,54,"303,247","51,843","60,649","12,508","2,657",834,288%,162%,113%,417,144%,81%,56%,272,94%,53%,37%,177,478%,328%,253%,89,241%,165%,127%,58,157%,107%,83%
"Salisbury, MD",598,59,187,392,26,43,"371,513","100,254","74,303","16,022","3,587","1,068",571%,272%,179%,534,286%,136%,89%,348,186%,89%,58%,239,919%,556%,405%,120,462%,279%,203%,78,300%,181%,132%
"Salt Lake City, UT","3,999",526,"1,804","2,902",277,402,"1,552,687","249,737","310,537","63,747","13,464","4,250",236%,146%,106%,"2,125",118%,73%,53%,"1,386",77%,48%,35%,898,324%,223%,171%,449,162%,112%,85%,293,106%,73%,56%
"San Angelo, TX",584,35,323,454,17,26,"126,084","26,085","25,217","5,287","1,146",352,109%,78%,60%,176,54%,39%,30%,115,36%,25%,20%,76,447%,292%,217%,38,224%,146%,109%,25,147%,96%,71%
"San Antonio, TX","6,234",747,"2,477","4,356",216,482,"2,191,766","376,149","438,353","90,434","19,219","6,029",243%,138%,97%,"3,014",122%,69%,48%,"1,966",79%,45%,32%,"1,281",593%,266%,171%,641,297%,133%,86%,418,194%,87%,56%
"San Bernardino, CA","5,691",690,"2,125","3,908",231,460,"2,406,889","366,977","481,378","98,434","20,690","6,562",309%,168%,115%,"3,281",154%,84%,58%,"2,140",101%,55%,38%,"1,379",597%,300%,200%,690,299%,150%,100%,450,195%,98%,65%
"San Diego, CA","6,178",802,"1,949","4,064",358,580,"3,005,567","497,077","601,113","123,656","26,186","8,244",423%,203%,133%,"4,122",211%,101%,67%,"2,688",138%,66%,44%,"1,746",488%,301%,218%,873,244%,151%,109%,569,159%,98%,71%
"San Francisco, CA","3,776",439,"1,139","2,458",203,321,"1,272,753","236,390","254,551","52,856","11,323","3,524",309%,143%,93%,"1,762",155%,72%,47%,"1,149",101%,47%,30%,755,372%,235%,172%,377,186%,117%,86%,246,121%,77%,56%
"San Jose, CA","2,547",341,916,"1,731",146,244,"1,456,607","234,573","291,321","59,808","12,634","3,987",435%,230%,157%,"1,994",218%,115%,78%,"1,300",142%,75%,51%,842,577%,345%,247%,421,288%,173%,123%,275,188%,113%,81%
"San Luis Obispo, CA",390,54,202,296,33,44,"213,703","46,965","42,741","9,013","1,967",601,298%,203%,154%,300,149%,101%,77%,196,97%,66%,50%,131,397%,298%,243%,66,200%,150%,122%,43,130%,98%,80%
"San Mateo County, CA","1,555",198,452,"1,003",88,143,"666,874","128,195","133,375","27,777","5,972","1,852",410%,185%,119%,926,205%,92%,60%,604,134%,60%,39%,398,452%,278%,201%,199,226%,139%,101%,130,148%,91%,66%
"Santa Barbara, CA",858,82,246,552,35,59,"359,828","67,153","71,966","14,949","3,204",997,405%,181%,116%,498,202%,90%,58%,325,132%,59%,38%,214,611%,363%,261%,107,306%,181%,130%,70,200%,119%,85%
"Santa Cruz, CA",359,22,169,264,6,14,"229,413","39,590","45,883","9,470","2,014",631,373%,239%,176%,316,187%,120%,88%,206,122%,78%,57%,134,2233%,957%,609%,67,1117%,479%,305%,44,733%,314%,200%
"Santa Rosa, CA","1,272",93,306,789,45,69,"402,885","88,435","80,577","16,990","3,707","1,133",370%,144%,89%,566,185%,72%,44%,369,121%,47%,29%,247,549%,358%,266%,124,276%,180%,133%,81,180%,117%,87%
"Sarasota, FL","1,309",159,604,957,77,118,"374,960","156,791","74,992","17,228","4,122","1,149",190%,120%,88%,574,95%,60%,44%,375,62%,39%,29%,275,357%,233%,173%,137,178%,116%,86%,90,117%,76%,57%
"Savannah, GA","2,050",163,650,"1,350",55,109,"701,923","139,656","140,385","29,327","6,328","1,955",301%,145%,95%,978,150%,72%,48%,638,98%,47%,31%,422,767%,387%,259%,211,384%,194%,129%,138,251%,127%,85%
"Sayre, PA",591,62,215,403,28,45,"153,089","36,987","30,618","6,520","1,439",435,202%,108%,74%,217,101%,54%,37%,142,66%,35%,24%,96,343%,213%,155%,48,171%,107%,77%,31,111%,69%,50%
"Scranton, PA",782,65,324,553,31,48,"253,817","63,450","50,763","10,851","2,405",723,223%,131%,92%,362,112%,65%,46%,236,73%,43%,30%,160,516%,333%,246%,80,258%,167%,123%,52,168%,108%,80%
"Seattle, WA","4,700",651,"1,366","3,033",209,430,"2,421,217","421,176","484,243","100,009","21,282","6,667",488%,220%,142%,"3,334",244%,110%,71%,"2,174",159%,72%,46%,"1,419",679%,330%,218%,709,339%,165%,109%,463,222%,108%,71%
"Shreveport, LA","2,468",283,"1,080","1,774",111,197,"531,003","109,269","106,201","22,254","4,820","1,484",137%,84%,60%,742,69%,42%,30%,484,45%,27%,20%,321,289%,163%,113%,161,145%,82%,57%,105,95%,53%,37%
"Sioux City, IA",909,59,362,635,23,41,"195,685","41,561","39,137","8,226","1,788",548,151%,86%,60%,274,76%,43%,30%,179,49%,28%,20%,119,517%,290%,202%,60,261%,146%,102%,39,170%,95%,66%
"Sioux Falls, SD","4,065",103,"1,653","2,859",52,77,"603,563","129,561","120,713","25,397","5,527","1,693",102%,59%,42%,847,51%,30%,21%,552,33%,19%,14%,368,708%,478%,357%,184,354%,239%,179%,120,231%,156%,117%
"Slidell, LA",536,137,338,437,70,103,"149,492","32,656","29,898","6,301","1,374",420,124%,96%,78%,210,62%,48%,39%,137,41%,31%,26%,92,131%,89%,67%,46,66%,45%,34%,30,43%,29%,22%
"South Bend, IN","1,273",148,551,912,70,109,"539,539","108,077","107,908","22,556","4,871","1,504",273%,165%,118%,752,136%,82%,59%,490,89%,54%,38%,325,464%,298%,220%,162,231%,149%,109%,106,151%,97%,72%
"Spartanburg, SC",809,125,280,545,65,95,"300,991","64,361","60,198","12,660","2,754",844,301%,155%,104%,422,151%,77%,52%,275,98%,50%,34%,184,283%,194%,147%,92,142%,97%,74%,60,92%,63%,48%
"Spokane, WA","3,652",355,"1,657","2,655",134,245,"1,210,559","251,604","242,112","50,782","11,011","3,385",204%,127%,93%,"1,693",102%,64%,46%,"1,104",67%,42%,30%,734,548%,300%,207%,367,274%,150%,103%,239,178%,98%,67%
"Springdale, AR","1,144",135,616,880,73,104,"437,572","77,638","87,514","18,103","3,860","1,207",196%,137%,106%,603,98%,69%,53%,394,64%,45%,34%,257,352%,247%,190%,129,177%,124%,96%,84,115%,81%,62%
"Springfield, IL","2,426",213,"1,172","1,799",79,146,"637,463","146,057","127,493","26,999","5,921","1,800",154%,100%,74%,900,77%,50%,37%,587,50%,33%,24%,395,500%,271%,185%,197,249%,135%,92%,129,163%,88%,61%
"Springfield, MA","1,588",195,500,"1,044",73,134,"600,306","123,079","120,061","25,150","5,445","1,677",335%,161%,106%,838,168%,80%,53%,547,109%,52%,34%,363,497%,271%,186%,182,249%,136%,93%,118,162%,88%,61%
"Springfield, MO","2,078",226,819,"1,449",67,147,"688,462","166,812","137,692","29,331","6,476","1,955",239%,135%,94%,978,119%,67%,47%,638,78%,44%,31%,432,645%,294%,191%,216,322%,147%,96%,141,210%,96%,62%
"St. Cloud, MN",898,45,227,563,16,31,"203,089","38,678","40,618","8,452","1,815",563,248%,100%,63%,282,124%,50%,31%,184,81%,33%,20%,121,756%,390%,269%,60,375%,194%,133%,39,244%,126%,87%
"St. Joseph, MI",393,20,238,316,9,14,"110,235","26,066","22,047","4,684","1,031",312,131%,99%,79%,156,66%,49%,40%,102,43%,32%,26%,69,767%,493%,345%,34,378%,243%,170%,22,244%,157%,110%
"St. Louis, MO","10,187","1,180","4,326","7,257",547,864,"2,666,497","532,142","533,299","111,438","24,055","7,429",172%,102%,73%,"3,715",86%,51%,36%,"2,423",56%,33%,24%,"1,604",293%,186%,136%,802,147%,93%,68%,523,96%,61%,44%
"St. Paul, MN","1,604",183,582,"1,093",48,116,"856,536","148,362","171,307","35,367","7,523","2,358",405%,216%,147%,"1,179",203%,108%,74%,769,132%,70%,48%,502,1046%,433%,274%,251,523%,216%,137%,164,342%,141%,90%
"St. Petersburg, FL","1,424",139,613,"1,018",33,86,"354,891","90,670","70,978","15,209","3,381","1,014",165%,100%,71%,507,83%,50%,36%,331,54%,33%,23%,225,682%,262%,162%,113,342%,131%,81%,74,224%,86%,53%
"Stockton, CA",918,121,329,623,41,81,"464,979","77,159","92,996","19,135","4,054","1,276",388%,205%,139%,638,194%,102%,69%,416,126%,67%,45%,270,659%,333%,223%,135,329%,167%,112%,88,215%,109%,73%
"Sun City, AZ",845,119,364,604,81,100,"237,503","104,547","47,501","11,012","2,658",734,202%,122%,87%,367,101%,61%,43%,239,66%,40%,28%,177,219%,177%,149%,89,110%,89%,75%,58,72%,58%,49%
"Syracuse, NY","3,062",243,950,"2,006",77,160,"832,908","165,881","166,582","34,802","7,511","2,320",244%,116%,76%,"1,160",122%,58%,38%,757,80%,38%,25%,501,651%,313%,206%,250,325%,156%,103%,163,212%,102%,67%
"Tacoma, WA","1,388",197,366,877,62,129,"642,251","109,410","128,450","26,484","5,624","1,766",483%,201%,127%,883,241%,101%,64%,576,157%,66%,41%,375,605%,291%,190%,187,302%,145%,95%,122,197%,95%,62%
"Takoma Park, MD","1,181",150,294,738,48,99,"789,639","122,832","157,928","32,340","6,810","2,156",733%,292%,183%,"1,078",367%,146%,91%,703,239%,95%,60%,454,946%,459%,303%,227,473%,229%,151%,148,308%,149%,99%
"Tallahassee, FL","2,242",193,603,"1,423",50,122,"668,985","118,753","133,797","27,678","5,902","1,845",306%,130%,82%,923,153%,65%,41%,602,100%,42%,27%,393,786%,322%,204%,197,394%,161%,102%,128,256%,105%,66%
"Tampa, FL","4,005",515,"1,289","2,647",165,340,"1,170,264","218,181","234,053","48,616","10,418","3,241",251%,122%,81%,"1,621",126%,61%,40%,"1,057",82%,40%,26%,695,421%,204%,135%,347,210%,102%,67%,226,137%,66%,44%
"Temple, TX",985,162,390,688,50,106,"409,683","59,971","81,937","16,707","3,499","1,114",286%,162%,113%,557,143%,81%,57%,363,93%,53%,37%,233,466%,220%,144%,117,234%,110%,72%,76,152%,72%,47%
"Terre Haute, IN",468,64,207,337,37,50,"140,148","28,559","28,030","5,868","1,270",391,189%,116%,84%,196,95%,58%,42%,128,62%,38%,27%,85,230%,170%,133%,42,114%,84%,66%,28,76%,56%,44%
"Texarkana, AR",656,90,383,519,62,76,"198,305","43,677","39,661","8,365","1,826",558,146%,108%,85%,279,73%,54%,43%,182,48%,35%,28%,122,197%,161%,136%,61,98%,80%,68%,40,65%,53%,44%
"Toledo, OH","2,679",456,"1,122","1,900",179,317,"767,671","155,817","153,534","32,132","6,949","2,142",191%,113%,80%,"1,071",95%,56%,40%,699,62%,37%,26%,463,259%,146%,102%,232,130%,73%,51%,151,84%,48%,33%
"Topeka, KS","1,304",112,594,949,49,80,"352,693","68,579","70,539","14,705","3,165",980,165%,103%,75%,490,82%,52%,38%,320,54%,34%,25%,211,431%,264%,188%,106,216%,133%,95%,69,141%,86%,62%
"Traverse City, MI",756,26,293,525,7,17,"189,619","52,436","37,924","8,202","1,842",547,187%,104%,72%,273,93%,52%,36%,178,61%,34%,24%,123,1757%,724%,473%,61,871%,359%,235%,40,571%,235%,154%
"Tucson, AZ","2,677",335,"1,184","1,930",161,248,"971,119","232,066","194,224","41,312","9,106","2,754",233%,143%,103%,"1,377",116%,71%,51%,898,76%,47%,34%,607,377%,245%,181%,304,189%,123%,91%,198,123%,80%,59%
"Tulsa, OK","4,185",486,"1,783","2,984",159,323,"1,070,712","213,442","214,142","44,742","9,657","2,983",167%,100%,71%,"1,491",84%,50%,36%,973,55%,33%,23%,644,405%,199%,133%,322,203%,100%,66%,210,132%,65%,43%
"Tupelo, MS","1,634",104,818,"1,226",61,83,"308,796","61,185","61,759","12,897","2,782",860,105%,70%,53%,430,53%,35%,26%,280,34%,23%,17%,185,303%,223%,178%,93,152%,112%,89%,60,98%,72%,58%
"Tuscaloosa, AL","1,066",143,297,681,37,90,"215,194","37,920","43,039","8,898","1,896",593,200%,87%,56%,297,100%,44%,28%,193,65%,28%,18%,126,341%,140%,88%,63,170%,70%,44%,41,111%,46%,29%
"Tyler, TX","1,338",224,527,932,127,176,"437,181","98,736","87,436","18,489","4,048","1,233",234%,132%,92%,616,117%,66%,46%,402,76%,43%,30%,270,213%,153%,121%,135,106%,77%,60%,88,69%,50%,39%
"Urbana, IL","1,047",99,480,764,54,77,"361,763","69,031","72,353","15,059","3,235","1,004",209%,131%,96%,502,105%,66%,48%,327,68%,43%,31%,216,400%,281%,218%,108,200%,140%,109%,70,130%,91%,71%
"Ventura, CA","1,087",163,278,682,94,128,"669,683","124,579","133,937","27,815","5,959","1,854",667%,272%,171%,927,333%,136%,85%,605,218%,89%,56%,397,422%,310%,244%,199,212%,155%,122%,130,138%,102%,80%
"Victoria, TX",574,46,352,463,18,32,"115,052","25,536","23,010","4,857","1,061",324,92%,70%,56%,162,46%,35%,28%,106,30%,23%,18%,71,394%,222%,154%,35,194%,109%,76%,23,128%,72%,50%
"Waco, TX",720,60,261,490,24,42,"264,389","54,218","52,878","11,077","2,398",738,283%,151%,103%,369,141%,75%,51%,241,92%,49%,33%,160,667%,381%,267%,80,333%,190%,133%,52,217%,124%,87%
"Washington, DC","5,055",601,"1,595","3,325",218,409,"2,179,021","378,878","435,804","90,001","19,152","6,000",376%,180%,119%,"3,000",188%,90%,59%,"1,957",123%,59%,39%,"1,277",586%,312%,212%,638,293%,156%,106%,416,191%,102%,69%
"Waterloo, IA",668,36,340,504,19,28,"167,837","36,303","33,567","7,067","1,539",471,139%,93%,71%,236,69%,47%,35%,154,45%,31%,23%,103,542%,368%,286%,51,268%,182%,142%,33,174%,118%,92%
"Wausau, WI",403,72,152,278,45,59,"150,679","36,287","30,136","6,415","1,415",428,282%,154%,106%,214,141%,77%,53%,139,91%,50%,34%,94,209%,159%,131%,47,104%,80%,65%,31,69%,53%,43%
"White Plains, NY","2,973",243,597,"1,785",137,190,"896,882","178,478","179,376","37,473","8,086","2,498",418%,140%,84%,"1,249",209%,70%,42%,815,137%,46%,27%,539,393%,284%,222%,270,197%,142%,111%,176,128%,93%,72%
"Wichita Falls, TX",516,24,298,407,8,16,"154,615","31,786","30,923","6,479","1,403",432,145%,106%,84%,216,72%,53%,42%,141,47%,35%,27%,94,1175%,588%,392%,47,588%,294%,196%,30,375%,188%,125%
"Wichita, KS","4,590",442,"2,225","3,407",202,322,"951,715","198,669","190,343","39,940","8,664","2,663",120%,78%,58%,"1,331",60%,39%,29%,868,39%,25%,19%,578,286%,180%,131%,289,143%,90%,65%,188,93%,58%,43%
"Wilkes-Barre, PA",651,102,263,457,24,63,"198,135","47,118","39,627","8,424","1,856",562,214%,123%,86%,281,107%,61%,43%,183,70%,40%,28%,124,517%,197%,122%,62,258%,98%,61%,40,167%,63%,39%
"Wilmington, DE","1,845",237,601,"1,223",62,149,"637,120","120,121","127,424","26,493","5,684","1,766",294%,144%,96%,883,147%,72%,48%,576,96%,47%,31%,379,611%,254%,160%,189,305%,127%,80%,124,200%,83%,52%
"Wilmington, NC","1,005",90,251,628,17,54,"385,088","91,585","77,018","16,374","3,607","1,092",435%,174%,109%,546,218%,87%,54%,356,142%,57%,35%,240,1412%,444%,267%,120,706%,222%,133%,78,459%,144%,87%
"Winchester, VA","1,051",84,357,704,22,53,"350,240","74,330","70,048","14,721","3,200",981,275%,139%,93%,491,138%,70%,47%,320,90%,45%,30%,213,968%,402%,254%,107,486%,202%,127%,70,318%,132%,83%
"Winston-Salem, NC","2,870",499,843,"1,857",40,269,"899,862","197,294","179,972","37,943","8,278","2,530",300%,136%,88%,"1,265",150%,68%,44%,825,98%,44%,29%,552,1380%,205%,111%,276,690%,103%,55%,180,450%,67%,36%
"Worcester, MA","1,525",169,425,975,43,106,"652,386","122,123","130,477","27,111","5,812","1,807",425%,185%,118%,904,213%,93%,59%,589,139%,60%,39%,387,900%,365%,229%,194,451%,183%,115%,126,293%,119%,75%
"Yakima, WA",369,58,200,285,33,45,"220,972","40,707","44,194","9,170","1,963",611,306%,214%,166%,306,153%,107%,83%,199,100%,70%,54%,131,397%,291%,226%,65,197%,144%,112%,43,130%,96%,74%
"York, PA",868,79,267,567,8,43,"343,334","73,773","68,667","14,448","3,145",963,361%,170%,111%,482,181%,85%,56%,314,118%,55%,36%,210,2625%,488%,266%,105,1313%,244%,133%,68,850%,158%,86%
"Youngstown, OH","1,555",158,543,"1,049",66,112,"493,628","124,167","98,726","21,117","4,685","1,408",259%,134%,91%,704,130%,67%,45%,459,85%,44%,30%,312,473%,279%,197%,156,236%,139%,99%,102,155%,91%,65%
